Inside Diameter (m),PVC (£/m),Iron (£/m),GRP (£/m)
0.1,    27.71,  39.58,      45.52
0.2,    61.49,  87.84,      101.02
0.3,    98.023, 140.03,     161.03
0.4,    136.46, 194.94,     224.18
0.5,    176.38, 251.97,     289.77
0.6,    0,      310.75,     357.36
0.7,    0,      371.02,     426.67
0.8,    0,      432.60,     497.49
0.9,    0,      495.35,     569.66
1.0,    0,      559.16,     643.04
1.1,    0,      623.94,     717.53
1.2,    0,      689.60,     793.04
1.3,    0,      756.09,     869.50
1.4,    0,      823.35,     946.86
1.5,    0,      891.34,     1025.04
1.6,    0,      960.01,     1104.02
1.7,    0,      1029.33,    1183.73
1.8,    0,      1099.27,    1264.16
1.9,    0,      1169.79,    1345.25
2.0,    0,      1240.86,    1427.00
2.1,    0,      1312.48,    1509.35
2.2,    0,      1384.61,    1592.30
2.3,    0,      1457.23,    1675.81
2.4,    0,      1530.32,    1759.87
2.5,    0,      1603.88,    1844.46
